NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
Setoxidim;Quimico;0.300;S02;Setoxidim;74051802;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
SIMAZINA;Quimico;0.020;S03;SIMAZINA;122349;SIM;Abacaxi;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
SIMAZINA;Quimico;0.020;S03;SIMAZINA;122349;SIM;Cacau;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
SIMAZINA;Quimico;0.020;S03;SIMAZINA;122349;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
SIMAZINA;Quimico;0.020;S03;SIMAZINA;122349;SIM;Citros;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
SIMAZINA;Quimico;0.020;S03;SIMAZINA;122349;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
S-metolacloro;Quimico;0.010;S13;S-metolacloro;87392129;SIM;Canola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.755, DE 22 DE SETEMBRO DE 2014;23/09/2014 00:00:00.000000;
SULFENTRAZONA;Quimico;0.020;S09;SULFENTRAZONA;122836355;SIM;Abacaxi;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEBUCONAZOL;Quimico;0.100;T32;TEBUCONAZOL;107534963;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEBUCONAZOL;Quimico;0.100;T32;TEBUCONAZOL;107534963;SIM;Aveia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEBUCONAZOL;Quimico;0.200;T32;TEBUCONAZOL;107534963;SIM;Berinjela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 667, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
PIRACLOSTROBINA;Quimico;0.500;P46;PIRACLOSTROBINA;175013180;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;12/05/2016 00:00:00.000000
PIRIDABEM;Quimico;0.010;P35;PIRIDABEM;96489713;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 159, DE 20 DE JANEIRO DE 2017;23/01/2017 00:00:00.000000;
PIRIDABEM;Quimico;0.010;P35;PIRIDABEM;96489713;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 159, DE 20 DE JANEIRO DE 2017;23/01/2017 00:00:00.000000;
PIRIDABEM;Quimico;0.500;P35;PIRIDABEM;96489713;SIM;Jiló;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 159, DE 20 DE JANEIRO DE 2017;23/01/2017 00:00:00.000000;
PIRIDABEM;Quimico;0.030;P35;PIRIDABEM;96489713;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 159, DE 20 DE JANEIRO DE 2017;23/01/2017 00:00:00.000000;
