NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
TIRAM;Quimico;1.000;T16;TIRAM;137268;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TIRAM;Quimico;0.300;T16;TIRAM;137268;SIM;Aveia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TIRAM;Quimico;1.000;T16;TIRAM;137268;SIM;Pastagens;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 1.512, DE 21 DE JUNHO DE 2005;27/06/2005 00:00:00.000000;
TRIADIMEFOM;Quimico;0.200;T17;TRIADIMEFOM;43121433;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TRIADIMENOL;Quimico;0.100;T31;TRIADIMENOL;55219653;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TRIAZOFÓS;Quimico;0.010;T18;TRIAZOFÓS;24017478;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TRIAZOFÓS;Quimico;0.100;T18;TRIAZOFÓS;24017478;SIM;Repolho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.050;T33;TEFLUBENZUROM;83121180;SIM;Inhame;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.588, DE 18 DE SETEMBRO DE 2019;19/09/2019 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.200;T33;TEFLUBENZUROM;83121180;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 870, DE 7 DE ABRIL DE 2016;11/04/2016 00:00:00.000000;04/06/2017 00:00:00.000000
TEFLUBENZUROM;Quimico;0.200;T33;TEFLUBENZUROM;83121180;SIM;Nêspera;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.187, DE 06 DE AGOSTO DE 2015;07/08/2015 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.030;T33;TEFLUBENZUROM;83121180;SIM;Pimenta;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 4.972, DE 30 DE DEZEMBRO DE 2014;02/01/2015 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.100;T33;TEFLUBENZUROM;83121180;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
